Transparent|透明|Transparent
Rope Ladder|縄ばしご|Échelle de corde
Rope|ロープ|Corde
Vines|ツタ|Plantes grimpantes
Tent (Snow)|テント（雪）|Tente
Tent (Snow)|テント（雪）|Tente
Tent (Snow)|テント（雪）|Tente
Streetlight (Snow)|街灯（雪）|Lampadaire (neige)
Metal Ladder|鉄ばしご|Échelle en métal
Rope Ladder|縄ばしご|Échelle de corde
Rope|ロープ|Corde
Vines (Down)|ツタ（下り）|Plantes grimpantes (descente)
Tent (Snow)|テント（雪）|Tente
Tent (Entrance, Snow)|テント（入口・雪）|Tente (entrée, neige)
Tent (Snow)|テント（雪）|Tente (neige)
Streetlight (Snow)|街灯（雪）|Lampadaire (neige)
Hole (Metal Ladder)|穴（鉄ばしご）|Trou (échelle en métal)
Hole (Rope Ladder)|穴（縄ばしご）|Trou (échelle de corde)
Hole (Rope)|穴（ロープ）|Trou (corde)
Hole|穴|Trou
