Darkness|暗闇|Obscurité
Relief Floor Tile|レリーフ床|Tile au sol de relief
Directional Floor Tile (Down)|方向床（下）|Tile au sol directionnelle (bas)
Directional Floor Tile (Up)|方向床（上）|Tile au sol directionnelle (haut)
Relief Floor Tile|レリーフ床|Tile au sol de relief
Relief Floor Tile|レリーフ床|Tile au sol de relief
Relief Floor Tile|レリーフ床|Tile au sol de relief
Relief Floor Tile|レリーフ床|Tile au sol de relief
Relief Floor Tile|レリーフ床|Tile au sol de relief
Relief Floor Tile|レリーフ床|Tile au sol de relief
Directional Floor Tile (Left)|方向床（左）|Tile au sol directionnelle (gauche)
Directional Floor Tile (Right)|方向床（右）|Tile au sol directionnelle (droite)
Relief Floor Tile (Ruins)|レリーフ床（廃墟）|Tile au sol de relief (ruines)
Relief Floor Tile (Ruins)|レリーフ床（廃墟）|Tile au sol de relief (ruines)
