Transparent|透明|Transparent
Tapestry (Ruins)|タペストリー（廃墟）|Tapisserie (ruines)
Fireplace|暖炉|Cheminée
Fireplace|暖炉|Cheminée
Fireplace|暖炉|Cheminée
Fireplace|暖炉|Cheminée
Fireplace|暖炉|Cheminée
Fireplace|暖炉|Cheminée
Tapestry|タペストリー|Tapisserie
Tapestry (Ruins)|タペストリー（廃墟）|Tapisserie (ruines)
Curtains|カーテン|Rideaux
Curtains|カーテン|Rideaux
Curtains|カーテン|Rideaux
Curtains|カーテン|Rideaux
Curtains (Ruins)|カーテン（廃墟）|Rideaux (ruines)
Curtains (Ruins)|カーテン（廃墟）|Rideaux (ruines)
Curtains (Ruins)|カーテン（廃墟）|Rideaux (ruines)
Curtains (Ruins)|カーテン（廃墟）|Rideaux (ruines)
Curtains|カーテン|Rideaux
Curtains|カーテン|Rideaux
Curtains|カーテン|Rideaux
Curtains|カーテン|Rideaux
Curtains (Ruins)|カーテン（廃墟）|Rideaux (ruines)
Curtains (Ruins)|カーテン（廃墟）|Rideaux (ruines)
Curtains (Ruins)|カーテン（廃墟）|Rideaux (ruines)
Curtains (Ruins)|カーテン（廃墟）|Rideaux (ruines)
Clock|時計|Horloge
Mirror|鏡|Miroir
Posted Notice|貼り紙|Notification
Posted Notice (Ruins)|貼り紙（廃墟）|Notification (ruines)
World Map|世界地図|Carte du monde
World Map|世界地図|Carte du monde
Painting|絵画|Tableau
Painting|絵画|Tableau
Clock|時計|Horloge
Mirror|鏡|Miroir
Stone Tablet|石版|Tablette en pierre
Stone Tablet(Ruins)|石版（廃墟）|Tablette en pierre (ruines)
Portrait|肖像画|Portrait
Portrait|肖像画|Portrait
Portrait|静物画|Nature morte
Painting|絵画|Tableau
Chair|背もたれ椅子|Chaise
Chair|背もたれ椅子|Chaise
Throne|玉座|Trône
Throne|玉座|Trône
Throne|玉座|Trône
Throne (Demon Castle)|玉座（魔王城）|Trône (château démoniaque)
Throne (Demon Castle)|玉座（魔王城）|Trône (château démoniaque)
Throne (Demon Castle)|玉座（魔王城）|Trône (château démoniaque)
Chair|背もたれ椅子|Chaise
Chair|背もたれ椅子|Chaise
Throne|玉座|Trône
Throne|玉座|Trône
Throne|玉座|Trône
Throne (Demon Castle)|玉座（魔王城）|Trône (château démoniaque)
Throne (Demon Castle)|玉座（魔王城）|Trône (château démoniaque)
Throne (Demon Castle)|玉座（魔王城）|Trône (château démoniaque)
Shield|盾|Bouclier
Swords|剣|Épées
Swords|剣|Épées
Entrance|入口|Entrée
Entrance|入口|Entrée
Entrance (Top Half)|入口（上半分）|Entrée (moitié supérieure)
Entrance|入口|Entrée
Entrance (Top Half)|入口（上半分）|Entrée (moitié supérieure)
Vase|壺|Vase
Vase|壺|Vase
Vase (Ruins)|壺（廃墟）|Vase (ruines)
Table (Ruins)|テーブル（廃墟）|Table (ruines)
Stone Pillar|石の柱|Pilier en pierre
Stone Pillar|石の柱|Pilier en pierre
Fort Pillar|砦の柱|Pilier de fort
Rubble|瓦礫|Décombres
Basin|桶|Bassine
Barrel|樽|Tonneau
Barrel (Ruins)|樽（廃墟）|Tonneau (ruines)
Stool (Ruins)|椅子（廃墟）|Tabouret (ruines)
Stone Pillar|石の柱|Pilier en pierre
Stone Pillar|石の柱|Pilier en pierre
Fort Pilla|砦の柱|Pilier de fort
Rubble|瓦礫|Décombres
Basin|桶|Bassine
Tub|たらい|Baignoire
Tub|たらい|Baignoire
Crate(Ruins)|木箱（廃墟）|Caisse en bois (ruines)
Broken Stone Pillar|折れた石の柱|Pilier en pierre brisé
Broken Stone Pillar|折れた石の柱|Pilier en pierre brisé
Broken Fort Pillar|折れた砦の柱|Pilier en pierre brisé
Scrap Wood|端材|Bout de bois
Crate|木箱|Caisse en bois
Crate|木箱|Caisse en bois
Stacked Crates|積まれた木箱|Caisses empilées
Stacked Crates|積まれた木箱|Caisses empilées
Fissures|亀裂|Fissures
Fissures|亀裂|Fissures
Fissures|亀裂|Fissures
Fissures|亀裂|Fissures
Crate|木箱|Caisse en bois
Crate|木箱|Caisse en bois
Stacked Crates|積まれた木箱|Caisses empilées
Stacked Crates|積まれた木箱|Caisses empilées
Fissures|亀裂|Fissures
Fissures|亀裂|Fissures
Fissures|亀裂|Fissures
Fissures|亀裂|Fissures
Crate|木箱|Caisse en bois
Crate|木箱|Caisse en bois
Sacks|麻袋|Sacs
Crate|木箱|Caisse en bois
Jail Bar|鉄格子|Barreau de prison
Jail Bar|鉄格子|Barreau de prison
Jail Bar|鉄格子|Barreau de prison
Jail Bar|鉄格子|Barreau de prison
Sack|麻袋|Sac
Sack|麻袋|sac
Sack|麻袋|Sac
Crate|木箱|Caisse en bois
Jail Bar|鉄格子|Barreau de prison
Jail Bar|鉄格子|Barreau de prison
Jail Bar|鉄格子|Barreau de prison
Jail Bar|鉄格子|Barreau de prison
